1	Brazil qualify for 2018 World Cup after Coutinho and Neymar down Paraguay	Brazil qualify for number World Cup after Coutinho and Neymar down Paraguay Brazil have become the first team to qualify for the number World Cup maintaining their proud record as the tournament ' s only ever-present side with a little help from Lionel Messi ' s foul mouth and lightly regarded Peru. The five-times champions beat Paraguay number -number on Tuesday for their eighth successive win in the South American qualifying competition. That in itself was not enough to confirm their participation in Russia but Peru ' s surprise number -number win over Uruguay in a later game guaranteed Brazil a top-four finish.
1	Uber Self-Driving Car Tests Resume Three Days After Crash	Uber Self-Driving Car Tests Resume Three Days After Crash Uber Technologies Inc. ' s self-driving cars were back on public roads Monday , three days after a crash in Arizona put the company ' s testing program on hold. The ride-hailing company resumed testing in San Francisco Monday morning , and planned to restart the program in Tempe , Arizona , and Pittsburgh later in the day , according to an Uber spokeswoman. One of Uber ' s Volvo self-driving SUVs was involved in a high-impact crash on Friday in Tempe. The vehicle was not responsible for the incident and there were no injuries , Tempe police said. Another car failed to yield for the Uber car , causing the autonomous vehicle to flip on its side , according to the police report.
1	5-year-old wins Oklahoma spelling bee, heading for nationals	number -year-old wins Oklahoma spelling bee , heading for nationals TULSA , Okla. - A number -year-old girl is bound for the Scripps National Spelling Bee after becoming the youngest winner of a regional competition in Oklahoma. Edith Fuller won the Tulsa-area contest by correctly spelling jnana ( juh-nah-nuh ) . Merriam-Webster defines the word as meaning knowledge acquired through meditation in the Hindu tradition. The Tulsa World reports ( url ) Edith beat out more than number other elementary and middle school students Saturday. Edith is home-schooled and represented the TBC Home Education Fellowship in the bee.
1	Donald Trump Won't Say if He'll Accept Result of Election	Donald Trump Won ' t Say if He ' ll Accept Result of Election In a remarkable statement that seemed to cast doubt on American democracy , Donald J. Trump said Wednesday that he might not accept the results of next month ' s election if he felt it was rigged against him - a stand that Hillary Clinton blasted as " horrifying " at their final and caustic debate on Wednesday. Mr. Trump , under enormous pressure to halt Mrs. Clinton ' s steady rise in opinion polls , came across as repeatedly frustrated as he tried to rally conservative voters with hard-line stands on illegal immigration and abortion rights. But he kept finding himself drawn onto perilous political territory by Mrs. Clinton and the debate ' s moderator , Chris Wallace.
1	Baseball Is Practically a Water Sport to the Mets' Granderson	Baseball Is Practically a Water Sport to the Mets ' Granderson Even for number minutes Curtis Granderson can ' t restrain himself. On a recent morning here in spring training before the start of his number th full major league season he was talking about how at age number he will handle the rigors of chasing down balls in center field. As he talked he asked for a brief timeout and reached for the number -ounce water bottle he had left on the floor beside his locker. This was his sixth bottle of the day and it wasn ' t yet noon. There would likely be another six before the day was done. " You always see him just crushing water said his fellow outfielder Michael Conforto , who is number years younger than Granderson. Granderson drinks by the sip. He values that over chugging because he believes it gives his body a constant flow of essential fluids. He is also a firm believer in room-temperature water , because he can ' t drink as much when the water is cold. Thus , a number -pack of number -ounce bottles is always adjacent to his locker.
1	US leads boycott of UN talks to ban nuclear weapons	US leads boycott of UN talks to ban nuclear weapons United Nations , New York ( CNN ) US Ambassador to the United Nations Nikki Haley announced Monday that the United States and almost number other nations would not participate in the first-ever talks on an international treaty to ban nuclear weapons. Flanked by ambassadors from about number nations , including nuclear powers United Kingdom and France , Haley couched the decision not to attend the talks , which began Monday , in personal terms. As a mom and daughter , " there is nothing I want more for my family than a world with no nuclear weapons , " the former South Carolina governor said. " But we have to be realistic.
1	Broncos helmet found with Tom Brady's missing jerseys could belong to Von Miller	Broncos helmet found with Tom Brady ' s missing jerseys could belong to Von Miller MVP Von Miller ' s Super Bowl number helmet may have been discovered alongside Tom Brady ' s missing jerseys in Mexico according to Miller ' s team the Denver Broncos. The NFL announced on Monday that Brady ' s jersey from last month ' s Super Bowl LI which the New England Patriots quarterback had reported missing after the match had been found " in the possession of a credentialed member of the international media " . The investigation involving the FBI and other law enforcement agencies also discovered Brady ' s Super Bowl jersey from two years earlier and the surprises may not end there.
1	No new threat led to airline laptop limits, officials say	No new threat led to airline laptop limits , officials say U.S. and British officials said Tuesday the decision to bar laptops and tablets from the cabins of some international flights wasn ' t based on any specific threat but on longstanding concerns about terrorists targeting jetliners. Unimpressed , some travelers and civil liberties groups denounced the ban , raising concerns that included lost worktime on long flights and worries that checking laptops in baggage will make them more vulnerable to theft. Under the new bans , electronic devices larger than smartphones , such as laptops , tablets and gaming devices , will have to be checked on some international flights. American officials announced the U.S. ban early Tuesday , and the British followed later in the day after discussions between the countries.
1	Machine Learning Opens Up New Ways to Help Disabled People	Machine Learning Opens Up New Ways to Help Disabled People CC rules require TV stations to provide closed captions that convey speech , sound effects , and audience reactions such as laughter to deaf and hard of hearing viewers. YouTube isn ' t subject to those rules , but thanks to Google ' s machine-learning technology , it now offers similar assistance. YouTube has used speech-to-text software to automatically caption speech in videos since number ( they are used number million times a day ) . Today it rolled out algorithms that indicate applause , laughter , and music in captions. More sounds could follow , since the underlying software can also identify noises like sighs , barks , and knocks.
1	Ex-US Attorney Barbara McQuade will teach law at Michigan	Ex-US Attorney Barbara McQuade will teach law at Michigan Former U.S. Attorney Barbara McQuade will teach at University of Michigan law school. The school said Tuesday that McQuade will teach criminal law , criminal procedure and national security law. She has undergraduate and law degrees from Michigan. McQuade says helping today ' s students develop a deep understanding of the legal system " has never been more important. " She was chief federal prosecutor in eastern Michigan for seven years , after number years as an assistant U.S. attorney. The Trump administration last week told all U.S. attorneys appointed by President Barack Obama to step down.
1	Why Silicon Valley isn't fighting to save the Internet (yet)	Why Silicon Valley isn ' t fighting to save the Internet ( yet ) We thought we ' d never have to pull this out again one member of the singing activist group said at a tech industry rally against President Trump in San Francisco earlier this month. Then the Grannies launched into their protest song : Say to Comcast to Verizon and to AT&T : Hands off the Internet it must be free. " The chant stood out at the protest as the gathering mostly focused on Silicon Valley ' s fight with Trump over the travel ban. It also stands out as one of the few moments since Trump ' s inauguration when net neutrality took center stage in Silicon Valley. The net neutrality rules approved by the Federal Communications Commission in number are intended to keep the Internet open and fair. The rules prevent Internet providers from playing favorites by deliberately speeding up or slowing down traffic from specific websites and apps.
1	Teen with cancer dies days after Beyonce FaceTimes with her	Teen with cancer dies days after Beyonce FaceTimes with her Ebony Banks the Houston teen battling a rare form of cancer has died -- just days after her wish to speak to her idol Beyonce was fulfilled. A spokesman for Alief Independent School District where Banks was a student confirmed that she passed away early Sunday morning. " I understand she had a smile on her face till the very end spokesman Craig Eichhorn told ABC News. Hours later , the students at Alief Hastings High School , from which Banks had recently graduated and where she was a member of the color guard for four years , organized a candlelight vigil in the band practice lot. Members of the color guard held their candles up in the air and swayed along to the song Halo " by Beyonce.
1	How a Red State City Fell in Love With Muslim Immigrants	How a Red State City Fell in Love With Muslim Immigrants Every week hosts Dan Moss and Scott Lanman bring you a jargon-free dive into the stories that drive the global economy. Post-industrial Midwestern America helped propel Donald Trump to the nation ' s top job. You ' ve heard that a hundred times. But did you hear about St Louis ? A wave of Bosnian refugees many of them Muslim arrive in the city starting in the mid-number s. The result : a surge in business and job creation revitalization of the community and help in the transition from a manufacturing to a service economy. Sadik Kukic tells Dan and Michelle about his journey from Balkan concentration camps to a pillar of the local community : He ' s now president of the Bosnian Chamber of Commerce. What could be more American ? 
